# Conversion from FoV to FPA produced using ELViS
# VIS_sim_INSTRUMENTclass.convertFoVToFPA()
# This uses a ZEMAX distortion at wl=800nm
# Columns are fov_x, fov_y, fpa_x, fpa_y
# If the initial position is outside the FPA, 
# a default of -1e+32 is returned 
-0.392,-0.392,-1e+32,-1e+32
-0.37,-0.392,-1e+32,-1e+32
-0.34,-0.392,147901.343595,-169200.945179
-0.3,-0.392,130356.710173,-169102.221408
-0.2,-0.392,86622.328436,-168870.474628
0.0,-0.392,-358.493946185,-168471.460852
0.2,-0.392,-86800.8625848,-168158.278919
0.3,-0.392,-129862.164841,-168033.823902
0.34,-0.392,-147062.176278,-167990.034358
0.37,-0.392,-1e+32,-1e+32
0.392,-0.392,-1e+32,-1e+32
-0.392,-0.37,-1e+32,-1e+32
-0.37,-0.37,-1e+32,-1e+32
-0.34,-0.37,147848.561245,-159688.295585
-0.3,-0.37,130305.794828,-159595.063426
-0.2,-0.37,86576.0560001,-159376.194484
0.0,-0.37,-395.550244091,-158999.285542
0.2,-0.37,-86828.7255269,-158703.334762
0.3,-0.37,-129885.413352,-158585.665371
0.34,-0.37,-147083.572364,-158544.248178
0.37,-0.37,-1e+32,-1e+32
0.392,-0.37,-1e+32,-1e+32
-0.392,-0.34,-1e+32,-1e+32
-0.37,-0.34,-1e+32,-1e+32
-0.34,-0.34,147781.568068,-146721.28957
-0.3,-0.34,130241.173948,-146635.540959
-0.2,-0.34,86517.3346708,-146434.221024
0.0,-0.34,-442.560742915,-146087.437275
0.2,-0.34,-86864.053876,-145814.977002
0.3,-0.34,-129914.878002,-145706.56311
0.34,-0.34,-147110.683074,-145668.383123
0.37,-0.34,-1e+32,-1e+32
0.392,-0.34,-1e+32,-1e+32
-0.392,-0.3,-1e+32,-1e+32
-0.37,-0.3,-1e+32,-1e+32
-0.34,-0.3,147701.186493,-129439.825722
-0.3,-0.3,130163.643869,-129364.046895
-0.2,-0.3,86446.8959934,-129186.106357
0.0,-0.3,-498.922170318,-128879.460236
0.2,-0.3,-86906.3720145,-128638.309952
0.3,-0.3,-129950.147191,-128542.240704
0.34,-0.3,-147143.122503,-128508.380622
0.37,-0.3,-1e+32,-1e+32
0.392,-0.3,-1e+32,-1e+32
-0.392,-0.2,-1e+32,-1e+32
-0.37,-0.2,-1e+32,-1e+32
-0.34,-0.2,147544.939232,-86268.921225
-0.3,-0.2,130012.96806,-86218.0321053
-0.2,-0.2,86310.076828,-86098.4591796
0.0,-0.2,-608.230971952,-85892.0345452
0.2,-0.2,-86988.2339761,-85729.1151943
0.3,-0.2,-130018.231915,-85663.9248671
0.34,-0.2,-147205.676431,-85640.8800653
0.37,-0.2,-1e+32,-1e+32
0.392,-0.2,-1e+32,-1e+32
-0.392,0.0,-1e+32,-1e+32
-0.37,0.0,-1e+32,-1e+32
-0.34,0.0,147423.99286,-10.6497906938
-0.3,0.0,129896.49501,-9.44809089271
-0.2,0.0,86204.7355142,-6.39686152187
0.0,0.0,-691.451157106,-0.0945922205281
0.2,0.0,-87049.3686332,6.47110252987
0.3,0.0,-130068.279337,9.8516197304
0.34,0.0,-147251.273317,11.2219174887
0.37,0.0,-1e+32,-1e+32
0.392,0.0,-1e+32,-1e+32
-0.392,0.2,-1e+32,-1e+32
-0.37,0.2,-1e+32,-1e+32
-0.34,0.2,147558.356291,86247.680607
-0.3,0.2,130026.447314,86199.2058903
-0.2,0.2,86323.7334199,86085.7592061
0.0,0.2,-594.148661563,85891.9651409
0.2,0.2,-86973.6755594,85742.1635828
0.3,0.2,-130003.433174,85683.7085374
0.34,0.2,-147190.783246,85663.3899721
0.37,0.2,-1e+32,-1e+32
0.392,0.2,-1e+32,-1e+32
-0.392,0.3,-1e+32,-1e+32
-0.37,0.3,-1e+32,-1e+32
-0.34,0.3,147721.252115,129418.65881
-0.3,0.3,130183.808829,129345.308141
-0.2,0.3,86467.3434044,129173.523572
0.0,0.3,-477.79998799,128879.54056
0.2,0.3,-86884.4997313,128651.491072
0.3,0.3,-129927.898293,128562.124915
0.34,0.3,-147120.726055,128530.97312
0.37,0.3,-1e+32,-1e+32
0.392,0.3,-1e+32,-1e+32
-0.392,0.34,-1e+32,-1e+32
-0.37,0.34,-1e+32,-1e+32
-0.34,0.34,147804.274309,146700.160395
-0.3,0.34,130263.996281,146616.846984
-0.2,0.34,86540.4866562,146421.698241
0.0,0.34,-418.623014257,146087.594261
0.2,0.34,-86839.245177,145828.226082
0.3,0.34,-129889.633115,145726.498798
0.34,0.34,-147085.267548,145691.017908
0.37,0.34,-1e+32,-1e+32
0.392,0.34,-1e+32,-1e+32
-0.392,0.37,-1e+32,-1e+32
-0.37,0.37,-1e+32,-1e+32
-0.34,0.37,147873.23947,159667.19781
-0.3,0.37,130330.602565,159576.406711
-0.2,0.37,86601.2311167,159363.721625
0.0,0.37,-369.501037153,158999.506313
0.2,0.37,-86801.709615,158716.640387
0.3,0.37,-129857.91429,158605.64389
0.34,0.37,-147055.884515,158566.918148
0.37,0.37,-1e+32,-1e+32
0.392,0.37,-1e+32,-1e+32
-0.392,0.392,-1e+32,-1e+32
-0.37,0.392,-1e+32,-1e+32
-0.34,0.392,-1e+32,-1e+32
-0.3,0.392,-1e+32,-1e+32
-0.2,0.392,-1e+32,-1e+32
0.0,0.392,-1e+32,-1e+32
0.2,0.392,-1e+32,-1e+32
0.3,0.392,-1e+32,-1e+32
0.34,0.392,-1e+32,-1e+32
0.37,0.392,-1e+32,-1e+32
0.392,0.392,-1e+32,-1e+32
